               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.016326,           0.0050076,                   0,             0.99902,             0.98462,             0.98762,              0.7069,            0.025953,           0.0042982,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.016889,           0.0052632,                   0,              0.9988,             0.98462,             0.98783,             0.70919,            0.025156,             0.00421,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.016817,           0.0053933,                   0,             0.99901,             0.98462,              0.9881,              0.7257,            0.023677,           0.0040736,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.016282,           0.0056302,                   0,             0.99957,             0.98462,             0.98968,             0.67508,            0.025828,           0.0044966,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.017035,           0.0056246,                   0,             0.99918,             0.98462,             0.98799,             0.72417,            0.024597,           0.0042949,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,             0.01626,           0.0054998,                   0,             0.99836,             0.98462,             0.99144,             0.74098,            0.023724,           0.0041723,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,              0.0164,           0.0057082,                   0,             0.99871,             0.98462,             0.99333,             0.74113,            0.024617,           0.0041404,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.017384,           0.0054387,                   0,             0.99923,             0.98462,             0.99293,             0.72259,             0.02552,           0.0045533,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.016114,           0.0056584,                   0,             0.99868,             0.98462,             0.99429,              0.7275,            0.024423,           0.0040064,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.016867,            0.005667,                   0,                   1,             0.99903,               0.995,             0.71643,            0.024042,           0.0041609,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.017178,           0.0055973,                   0,             0.99904,             0.98462,              0.9947,             0.72138,            0.024315,           0.0042663,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.016403,            0.005217,                   0,             0.99887,             0.98462,             0.99456,             0.71366,            0.023749,           0.0040874,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.015969,           0.0055219,                   0,             0.99909,             0.98462,             0.99429,             0.71677,             0.02411,           0.0042515,                   0,           0.0068122,           0.0068122,           0.0068122
