               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.020438,            0.016839,                   0,             0.45129,             0.64548,              0.4365,             0.29922,            0.030411,            0.017693,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.021089,            0.017235,                   0,             0.62854,             0.44304,             0.51818,             0.35881,            0.029871,            0.017847,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.021599,            0.017421,                   0,             0.56086,             0.54972,             0.55123,             0.36076,            0.032087,              0.0172,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.020169,            0.016365,                   0,             0.51962,             0.56141,             0.50265,             0.32009,            0.028792,            0.016825,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.020807,            0.016805,                   0,             0.65621,             0.53156,             0.54987,               0.357,             0.03168,            0.016361,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.019767,            0.017571,                   0,             0.62993,             0.50633,             0.54086,             0.35843,            0.031618,             0.01634,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.020188,            0.015919,                   0,             0.59591,             0.54138,             0.48317,             0.30536,            0.030036,            0.017321,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.020405,            0.016846,                   0,             0.50413,              0.6962,             0.53486,             0.33987,            0.031557,             0.01677,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.019758,            0.016616,                   0,              0.5277,             0.53165,             0.47113,             0.29563,            0.029462,            0.018363,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.020333,             0.01779,                   0,             0.48556,             0.60759,             0.47628,             0.29453,            0.029673,            0.019546,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.020717,            0.018113,                   0,             0.68229,               0.435,             0.50081,             0.35316,            0.030072,            0.021119,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.020032,            0.016817,                   0,             0.62736,             0.60759,             0.58522,             0.39403,            0.030167,             0.01868,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.020141,            0.016604,                   0,             0.50891,              0.5772,             0.51596,             0.37628,            0.030362,            0.019032,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.019399,            0.015614,                   0,             0.58076,             0.61377,             0.54376,              0.3788,            0.030773,            0.017949,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.020038,            0.017145,                   0,              0.4963,             0.54882,             0.48492,             0.30669,             0.03158,            0.019351,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.019787,            0.017602,                   0,             0.60464,             0.54208,             0.51662,             0.33547,            0.030605,            0.018637,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.021576,            0.017513,                   0,              0.7179,             0.51899,             0.57544,              0.3587,             0.03013,            0.014676,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.020544,            0.017452,                   0,             0.52847,             0.64557,             0.60636,             0.38689,            0.029671,            0.014696,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.020579,            0.016819,                   0,             0.66664,             0.48095,             0.53422,              0.3429,            0.030691,            0.015941,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.019823,            0.017062,                   0,             0.58003,              0.5443,               0.554,             0.36315,            0.030838,            0.015551,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.019877,            0.015984,                   0,             0.59423,             0.61176,             0.60111,             0.41282,            0.032336,            0.016459,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,                0.02,            0.015946,                   0,             0.41204,             0.52341,              0.4437,             0.28516,            0.030801,            0.018909,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.019971,            0.017628,                   0,             0.50228,             0.55696,             0.48902,             0.32045,            0.029172,            0.016989,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.019011,            0.015475,                   0,             0.41604,             0.53165,             0.40907,             0.26424,            0.030565,            0.017342,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.020598,            0.019092,                   0,             0.51098,             0.48942,             0.44737,             0.29685,            0.031335,            0.018368,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.019075,            0.016727,                   0,             0.60278,             0.55705,             0.55147,             0.35014,            0.035035,             0.01879,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.019283,            0.016782,                   0,             0.63021,             0.49367,             0.53766,             0.36206,            0.032583,            0.019055,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.021078,            0.016587,                   0,             0.60302,             0.59494,             0.57689,             0.41095,            0.033675,            0.017785,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.019238,             0.01635,                   0,              0.6594,              0.5443,              0.5519,             0.38354,            0.035389,             0.01816,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.019276,            0.015628,                   0,             0.46908,             0.59494,              0.4806,             0.32228,            0.033102,            0.017998,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.020086,            0.016108,                   0,             0.55785,              0.5443,             0.50308,             0.34346,            0.032124,            0.016885,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.020018,            0.016433,                   0,             0.53829,             0.53165,             0.47266,              0.3007,            0.030598,            0.016896,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.019218,            0.015351,                   0,             0.61109,             0.56962,             0.51431,             0.35018,            0.030463,            0.015755,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.019053,            0.017185,                   0,              0.5903,             0.60189,             0.56469,              0.3726,            0.030779,             0.01536,                   0,            0.007129,            0.007129,            0.007129
                 147,             0.01896,            0.015997,                   0,             0.64357,             0.59425,             0.61113,             0.40497,            0.028731,            0.016092,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.018329,            0.018991,                   0,             0.67517,             0.55696,             0.59424,             0.41138,            0.028484,            0.016846,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.019421,            0.015421,                   0,              0.5854,             0.53623,             0.55452,              0.3858,            0.030194,            0.017475,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,             0.01888,            0.015593,                   0,              0.6415,             0.62025,             0.58556,             0.39342,            0.029402,            0.016299,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.019531,            0.016022,                   0,              0.6264,             0.56962,             0.56164,             0.37396,            0.028166,            0.016755,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.018992,            0.015542,                   0,             0.72875,              0.5443,             0.61945,             0.41881,            0.027599,            0.018118,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.019138,            0.017876,                   0,              0.6034,             0.59705,             0.60089,             0.41386,            0.029383,            0.017583,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.018474,            0.014948,                   0,             0.72324,             0.51899,             0.56974,             0.39558,            0.031218,            0.016954,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.018877,            0.016594,                   0,             0.66033,             0.61525,             0.60032,             0.40651,            0.030791,            0.015118,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,             0.01873,            0.016962,                   0,             0.70287,             0.55696,             0.62783,             0.44119,            0.031026,            0.015971,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.017721,             0.01582,                   0,             0.75025,             0.53236,             0.59241,             0.41068,            0.031704,            0.016713,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.018411,            0.014908,                   0,             0.58384,             0.59494,             0.56313,             0.42205,            0.030091,            0.017615,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.019332,            0.015883,                   0,             0.51596,             0.51899,             0.45321,             0.34153,            0.030243,            0.017625,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.018199,            0.015012,                   0,             0.63198,             0.54345,             0.51677,             0.35385,             0.03293,            0.017173,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.018094,            0.015649,                   0,             0.51926,             0.65823,             0.53731,             0.34712,            0.029688,            0.015847,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.018747,            0.015357,                   0,             0.56027,             0.68354,             0.59756,             0.40176,            0.028981,            0.016424,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.017988,            0.014876,                   0,             0.62251,             0.55696,             0.56301,             0.37922,            0.028114,            0.017331,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.018527,            0.014837,                   0,             0.66471,             0.58228,             0.55124,             0.39113,              0.0293,            0.017086,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.018722,            0.015769,                   0,             0.46951,             0.72152,             0.50158,             0.36169,            0.028984,            0.016009,                   0,           0.0067528,           0.0067528,           0.0067528
